full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Adam Forshaw,28,686876400,Premier League,2016/2017,Midfielder,Middlesbrough,2700,1355,1345,England,34,15,15,0,0,0,1,0,1,0,0,11,7,4,35,15,20,4,0,0.03,0.03,0,0,0,0,1.17,77,79,675,2700,0.13,329,229,-1,22
Adam Reach,27,728697600,Premier League,2016/2017,Defender,Middlesbrough,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Smith,29,672879600,Premier League,2016/2017,Defender,AFC Bournemouth,3099,1642,1457,England,36,18,16,1,1,0,5,5,0,0,0,9,6,3,55,27,28,6,0,0.17,0.15,0.03,0.05,0,3099,1.6,56,86,517,620,0.17,250,91,132,10
Adama Traoré Diarra,24,822528000,Premier League,2016/2017,Midfielder,Middlesbrough,1537,766,771,Spain,27,7,9,0,0,0,1,0,1,0,0,7,5,2,20,9,11,1,0,0.06,0.06,0,0,0,0,1.17,77,57,1537,1537,0.06,302,200,-1,14
Adama Valentin Diomande,30,634953600,Premier League,2016/2017,Forward,Hull City,1168,628,540,Norway,22,7,6,2,2,0,0,0,0,0,0,1,0,1,23,9,14,1,0,0.15,0,0.15,0.29,0,584,1.77,51,53,1168,0,0.08,122,346,-1,6
Ademola Lookman,22,877302000,Premier League,2016/2017,Forward,Everton,287,131,156,England,8,2,1,1,1,0,0,0,0,0,0,5,2,3,2,2,0,0,0,0.31,0,0.31,0.69,0,287,0.63,144,36,0,0,0,52,293,-1,11
Adlène Guédioura,34,500601600,Premier League,2016/2017,Midfielder,Middlesbrough,858,421,437,Algeria,17,5,4,0,0,0,1,1,0,0,0,2,1,1,19,11,8,2,0,0.1,0.1,0,0,0,0,1.99,45,50,429,858,0.21,404,147,-1,18
Adnan Januzaj,25,791942400,Premier League,2016/2017,Midfielder,Sunderland,1630,901,729,Belgium,25,10,8,0,0,0,3,0,3,0,0,3,2,1,36,21,15,5,1,0.17,0.17,0,0,0,0,1.99,45,65,326,543,0.28,418,85,-1,23
Adrian Mariappa,33,528678000,Premier League,2016/2017,Defender,Watford,561,201,360,Jamaica,7,2,4,0,0,0,0,0,0,0,0,2,2,0,12,1,11,0,0,0,0,0,0,0,0,1.93,47,80,0,0,0,284,279,156,20
Adrián San Miguel del Castillo,33,536630400,Premier League,2016/2017,Goalkeeper,West Ham United,1440,810,630,Spain,16,9,7,0,0,0,0,0,0,0,0,6,4,2,23,12,11,1,0,0,0,0,0,0,0,1.44,63,90,1440,0,0.06,388,387,104,23
Ahmed Eissa El Mohamady Abdel Fattah,33,558140400,Premier League,2016/2017,Midfielder,Hull City,2520,1289,1231,Egypt,33,14,14,0,0,0,2,1,1,0,0,3,1,2,50,22,28,4,1,0.07,0.07,0,0,0,0,1.79,50,76,504,1260,0.18,341,181,-1,25
Ahmed Musa,27,719017200,Premier League,2016/2017,Forward,Leicester City,753,317,436,Nigeria,21,4,3,2,1,1,0,0,0,0,0,2,1,1,18,8,10,1,0,0.24,0,0.24,0.28,0.21,377,2.15,42,36,753,0,0.12,76,352,-1,9
Aiden O'Neill,22,899506800,Premier League,2016/2017,Midfielder,Burnley,82,0,82,Australia,3,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,4.39,21,27,0,0,0,-1,-1,-1,20
Ainsley Maitland-Niles,23,872809200,Premier League,2016/2017,Midfielder,Arsenal,1,0,1,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,17
Albert Danquah Adomah,32,566352000,Premier League,2016/2017,Midfielder,Middlesbrough,121,90,31,Ghana,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.49,61,61,0,0,0,-1,-1,-1,24
Alberto Moreno,28,710290800,Premier League,2016/2017,Defender,Liverpool,295,27,268,Spain,12,0,2,0,0,0,1,0,1,0,0,3,2,1,7,0,7,1,0,0.31,0.31,0,0,0,0,2.14,42,25,295,295,0.31,384,19,164,21
Aleix García,23,867452400,Premier League,2016/2017,Midfielder,Manchester City,75,19,56,Spain,4,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1.2,75,19,0,0,0,-1,-1,-1,23
Aleksandar Kolarov,34,500428800,Premier League,2016/2017,Defender,Manchester City,2533,1291,1242,Serbia,29,14,13,1,0,1,1,0,1,0,0,9,4,5,25,11,14,6,0,0.07,0.04,0.04,0,0.07,2533,0.89,101,87,422,2533,0.21,229,224,29,15
Alex Baptiste,34,507513600,Premier League,2016/2017,Defender,Middlesbrough,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Iwobi,24,831078000,Premier League,2016/2017,Forward,Arsenal,1462,814,648,Nigeria,26,10,8,3,3,0,3,1,2,0,0,8,6,2,19,8,11,1,0,0.37,0.18,0.18,0.33,0,487,1.17,77,56,1462,487,0.06,106,74,-1,5
Alex McCarthy,30,628646400,Premier League,2016/2017,Goalkeeper,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Oxlade-Chamberlain,27,745369200,Premier League,2016/2017,Midfielder,Arsenal,1562,538,1024,England,29,5,11,2,1,1,7,4,3,0,0,9,5,4,21,4,17,1,0,0.52,0.4,0.12,0.17,0.09,781,1.21,74,54,1562,223,0.06,146,11,-1,6
Alex Palmer,24,839631600,Premier League,2016/2017,Goalkeeper,West Bromwich Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Pike,23,855360000,Premier League,2016/2017,Defender,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Manninger,43,234226800,Premier League,2016/2017,Goalkeeper,Liverpool,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexis Sanchez,31,598492800,Premier League,2016/2017,Forward,Arsenal,3223,1595,1628,Chile,38,18,18,24,9,15,10,5,5,2,1,13,9,4,39,14,25,6,0,0.95,0.28,0.67,0.51,0.83,134,1.09,83,85,537,322,0.17,7,24,-1,1
Alfie Mawson,26,758937600,Premier League,2016/2017,Defender,Swansea City,2430,1260,1170,England,27,14,13,4,2,2,0,0,0,0,0,7,6,1,41,18,23,1,0,0.15,0,0.15,0.14,0.15,608,1.52,59,90,2430,0,0.04,126,284,118,4
Alfred John Momar N'Diaye,30,636681600,Premier League,2016/2017,Midfielder,Hull City,1277,669,608,Senegal,15,8,7,1,1,0,0,0,0,0,0,3,2,1,26,12,14,7,0,0.07,0,0.07,0.13,0,1277,1.83,49,85,182,0,0.49,191,254,-1,9
Allan Nyom,32,579222000,Premier League,2016/2017,Defender,West Bromwich Albion,2638,1293,1345,Cameroon,32,14,15,0,0,0,2,1,1,0,0,4,3,1,38,14,24,8,0,0.07,0.07,0,0,0,0,1.3,69,82,330,1319,0.27,406,191,76,19
Álvaro Arbeloa Coca,37,411609600,Premier League,2016/2017,Defender,West Ham United,256,256,0,Spain,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,0,0,0,0,0,0,0,2.81,32,85,85,0,1.05,-1,-1,-1,24
Álvaro Negredo Sánchez,35,493340400,Premier League,2016/2017,Forward,Middlesbrough,2880,1571,1309,Spain,36,18,15,9,6,3,4,1,3,2,0,11,7,4,42,20,22,5,0,0.41,0.13,0.28,0.34,0.21,320,1.31,69,80,576,720,0.16,60,109,-1,1
Ander Herrera,31,619052400,Premier League,2016/2017,Midfielder,Manchester United,2465,1278,1187,Spain,31,14,13,1,1,0,6,3,3,0,0,14,6,8,18,8,10,7,1,0.26,0.22,0.04,0.07,0,2465,0.66,137,80,352,411,0.26,225,51,-1,8
Andre Ayew,30,629856000,Premier League,2016/2017,Forward,West Ham United,1440,609,831,Ghana,25,6,10,6,1,5,3,2,1,0,0,6,5,1,23,11,12,1,0,0.56,0.19,0.38,0.15,0.54,240,1.44,63,58,1440,480,0.06,38,68,-1,5
Andre Gray,29,677890800,Premier League,2016/2017,Forward,Burnley,2267,1035,1232,England,32,12,14,9,5,4,3,3,0,2,0,9,5,4,29,7,22,2,0,0.48,0.12,0.36,0.43,0.29,252,1.15,78,71,1134,756,0.08,41,128,-1,2
Andrea Ranocchia,32,571968000,Premier League,2016/2017,Defender,Hull City,1330,720,610,Italy,16,8,7,2,1,1,2,1,1,0,0,4,2,2,25,12,13,2,0,0.27,0.14,0.14,0.13,0.15,665,1.69,53,83,665,665,0.14,134,100,143,7
Andrew Eleftheriou,22,878947200,Premier League,2016/2017,Defender,Watford,51,51,0,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3.53,26,51,0,0,0,-1,-1,-1,19
Andrew Robertson,26,763344000,Premier League,2016/2017,Defender,Hull City,2736,1367,1369,Scotland,33,15,16,1,1,0,2,2,0,0,0,5,2,3,50,21,29,5,0,0.1,0.07,0.03,0.07,0,2736,1.64,55,83,547,1368,0.16,248,178,138,10
Andrew Surman,34,524876400,Premier League,2016/2017,Midfielder,AFC Bournemouth,1803,747,1056,England,22,8,13,0,0,0,1,1,0,0,0,5,3,2,34,11,23,3,1,0.05,0.05,0,0,0,0,1.7,53,82,601,1803,0.15,411,214,-1,25
Andros Townsend,29,679618800,Premier League,2016/2017,Midfielder,Crystal Palace,2528,1229,1299,England,36,14,16,3,2,1,4,1,3,0,0,7,5,2,35,11,24,4,0,0.25,0.14,0.11,0.15,0.07,843,1.25,72,70,632,632,0.14,155,101,-1,7
Andy Carroll,31,600048000,Premier League,2016/2017,Forward,West Ham United,1314,560,754,England,18,6,9,7,2,5,1,1,0,0,0,3,3,0,25,13,12,3,0,0.55,0.07,0.48,0.32,0.6,188,1.71,53,73,438,1314,0.21,22,186,-1,4
Andy King,31,594086400,Premier League,2016/2017,Midfielder,Leicester City,1443,634,809,Wales,23,6,9,1,1,0,0,0,0,0,0,6,4,2,25,9,16,4,0,0.06,0,0.06,0.14,0,1443,1.56,58,63,361,0,0.25,201,351,-1,10
Angel Gomes,20,967676400,Premier League,2016/2017,Midfielder,Manchester United,2,2,0,England,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,30
Àngel Rangel Zaragoza,37,404611200,Premier League,2016/2017,Defender,Swansea City,822,476,346,Spain,18,5,3,1,0,1,0,0,0,0,0,2,1,1,23,13,10,1,0,0.11,0,0.11,0,0.26,822,2.52,36,46,822,0,0.11,160,366,171,12
Angelo Ogbonna,32,580345200,Premier League,2016/2017,Defender,West Ham United,1756,766,990,Italy,20,9,11,0,0,0,0,0,0,0,0,5,4,1,28,11,17,2,0,0,0,0,0,0,0,1.44,63,88,878,0,0.1,393,392,103,18
Angus Gunn,24,822268800,Premier League,2016/2017,Goalkeeper,Manchester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anthony Martial,24,818121600,Premier League,2016/2017,Forward,Manchester United,1559,816,743,France,25,9,9,4,3,1,6,1,5,0,0,10,5,5,12,5,7,2,0,0.58,0.35,0.23,0.33,0.12,390,0.69,130,62,780,260,0.12,81,14,-1,7
Antonio Barragán,33,550450800,Premier League,2016/2017,Defender,Middlesbrough,2196,1183,1013,Spain,26,14,12,0,0,0,0,0,0,0,0,8,5,3,30,15,15,5,0,0,0,0,0,0,0,1.23,73,84,439,0,0.2,325,333,69,20
Antonio Valencia,35,491958000,Premier League,2016/2017,Defender,Manchester United,2483,1431,1052,Ecuador,28,15,12,1,0,1,3,2,1,0,0,12,6,6,19,10,9,5,0,0.14,0.11,0.04,0,0.09,2483,0.69,131,89,497,828,0.18,228,132,15,10
Arouna Koné,36,437356800,Premier League,2016/2017,Forward,Everton,72,64,8,Côte d'Ivoire,6,0,0,0,0,0,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,2.5,36,12,0,0,0,-1,-1,-1,25
Arthur Masuaku,26,752630400,Premier League,2016/2017,Defender,West Ham United,972,467,505,France,13,5,6,0,0,0,1,0,1,0,0,4,3,1,22,9,13,1,0,0.09,0.09,0,0,0,0,2.04,44,75,972,972,0.09,389,159,160,21
Artur Boruc,40,319852800,Premier League,2016/2017,Goalkeeper,AFC Bournemouth,3150,1710,1440,Poland,35,19,16,0,0,0,0,0,0,0,0,9,6,3,57,27,30,2,0,0,0,0,0,0,0,1.63,55,90,1575,0,0.06,422,422,136,12
Ashley Barnes,30,625708800,Premier League,2016/2017,Forward,Burnley,1777,727,1050,England,28,8,12,6,2,4,2,2,0,2,0,8,4,4,25,8,17,8,1,0.41,0.1,0.3,0.25,0.34,296,1.27,71,63,222,889,0.41,54,140,-1,3
Ashley Fletcher,24,812588400,Premier League,2016/2017,Forward,West Ham United,353,220,133,England,16,1,1,0,0,0,0,0,0,0,0,5,5,0,11,9,2,2,0,0,0,0,0,0,0,2.8,32,22,177,0,0.51,262,262,-1,20
Ashley Westwood,30,638924400,Premier League,2016/2017,Midfielder,Burnley,550,258,292,England,9,3,3,0,0,0,0,0,0,0,0,1,0,1,8,5,3,3,0,0,0,0,0,0,0,1.31,69,61,183,0,0.49,264,255,-1,17
Ashley Williams,36,462063600,Premier League,2016/2017,Defender,Everton,3159,1530,1629,Wales,36,17,18,1,1,0,3,1,2,0,0,13,8,5,34,11,23,8,1,0.11,0.09,0.03,0.06,0,3159,0.97,93,88,351,1053,0.26,241,153,39,13
Ashley Young,35,489711600,Premier League,2016/2017,Midfielder,Manchester United,757,338,419,England,12,4,4,0,0,0,1,0,1,0,0,6,2,4,5,2,3,2,0,0.12,0.12,0,0,0,0,0.59,151,63,379,757,0.24,394,125,-1,24
Asmir Begović,33,551142000,Premier League,2016/2017,Goalkeeper,Chelsea,180,90,90,Bosnia and Herzegovina,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,18
Axel Tuanzebe,22,879465600,Premier League,2016/2017,Defender,Manchester United,305,90,215,England,4,1,3,0,0,0,0,0,0,0,0,2,1,1,4,0,4,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,265,259,61,20
Bacary Sagna,37,414028800,Premier League,2016/2017,Defender,Manchester City,1344,429,915,France,17,4,10,0,0,0,1,0,1,0,0,7,2,5,13,2,11,2,0,0.07,0.07,0,0,0,0,0.87,103,79,672,1344,0.13,408,190,28,19
Baily Cargill,25,804898800,Premier League,2016/2017,Defender,AFC Bournemouth,12,0,12,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,13
Bakary Sako,32,578012400,Premier League,2016/2017,Midfielder,Crystal Palace,135,54,81,Mali,7,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0,0,0,0,0,0,2,45,19,0,0,0,-1,-1,-1,18
Bartosz Kapustka,23,851299200,Premier League,2016/2017,Midfielder,Leicester City,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bastian Schweinsteiger,36,460162800,Premier League,2016/2017,Midfielder,Manchester United,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Chilwell,23,851126400,Premier League,2016/2017,Defender,Leicester City,694,453,241,England,12,5,2,1,1,0,0,0,0,0,0,2,2,0,16,10,6,2,0,0.13,0,0.13,0.2,0,694,2.07,43,58,347,0,0.26,138,354,162,16
Ben Davies,27,735606000,Premier League,2016/2017,Defender,Tottenham Hotspur,1735,772,963,Wales,23,8,10,1,0,1,3,2,1,0,0,11,7,4,11,3,8,1,0,0.21,0.16,0.05,0,0.09,1735,0.57,158,75,1735,578,0.05,220,88,7,12
Ben Foster,37,418172400,Premier League,2016/2017,Goalkeeper,West Bromwich Albion,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,6,4,2,50,21,29,2,0,0,0,0,0,0,0,1.32,68,90,1710,0,0.05,365,317,79,13
Ben Gibson,27,727056000,Premier League,2016/2017,Defender,Middlesbrough,3420,1710,1710,England,38,19,19,1,1,0,1,0,1,0,0,11,7,4,50,21,29,4,0,0.05,0.03,0.03,0.05,0,3420,1.32,68,90,855,3420,0.11,245,234,80,8
Ben Hamer,32,564364800,Premier League,2016/2017,Goalkeeper,Leicester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Hinchliffe,23,875142000,Premier League,2016/2017,Forward,Hull City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Mee,31,622335600,Premier League,2016/2017,Defender,Burnley,3016,1486,1530,England,34,17,17,1,0,1,0,0,0,0,0,9,6,3,44,13,31,5,0,0.03,0,0.03,0,0.06,3016,1.31,69,89,603,0,0.15,253,357,78,8
Ben Watson,35,489711600,Premier League,2016/2017,Midfielder,Watford,65,9,56,England,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1.38,65,16,33,0,2.77,-1,-1,-1,27
Ben Wynter,22,881798400,Premier League,2016/2017,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benik Afobe,27,729475200,Premier League,2016/2017,Forward,AFC Bournemouth,1451,651,800,Congo DR,31,6,8,6,3,3,3,3,0,0,1,9,5,4,21,9,12,1,0,0.56,0.19,0.37,0.41,0.34,242,1.3,69,47,1451,484,0.06,40,65,-1,4
Benjamin Woodburn,20,939942000,Premier League,2016/2017,Forward,Liverpool,83,30,53,Wales,5,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1.08,83,17,0,0,0,-1,-1,-1,23
Bernardo Espinosa,31,616114800,Premier League,2016/2017,Defender,Middlesbrough,975,443,532,Colombia,11,5,5,0,0,0,0,0,0,0,0,4,2,2,11,5,6,2,0,0,0,0,0,0,0,1.02,89,89,488,0,0.18,292,295,44,15
Billy Jones,33,543542400,Premier League,2016/2017,Defender,Sunderland,2271,957,1314,England,27,11,14,1,0,1,0,0,0,0,0,5,3,2,44,18,26,8,0,0.04,0,0.04,0,0.07,2271,1.74,52,84,284,0,0.32,230,285,149,5
Bojan,30,651798000,Premier League,2016/2017,Forward,Stoke City,475,269,206,Spain,9,3,2,3,2,1,0,0,0,2,1,0,0,0,11,6,5,1,0,0.57,0,0.57,0.67,0.44,158,2.08,43,53,475,0,0.19,12,368,-1,6
Borja Bastón,28,714697200,Premier League,2016/2017,Forward,Swansea City,548,355,193,Spain,18,4,0,1,0,1,0,0,0,0,0,3,3,0,9,7,2,0,0,0.16,0,0.16,0,0.47,548,1.48,61,30,0,0,0,118,276,-1,8
Brad Smith,26,765846000,Premier League,2016/2017,Defender,AFC Bournemouth,270,68,202,Australia,5,1,2,0,0,0,0,0,0,0,0,0,0,0,7,1,6,1,0,0,0,0,0,0,0,2.33,39,54,270,0,0.33,-1,-1,-1,20
Bradley Guzan,36,463532400,Premier League,2016/2017,Goalkeeper,Middlesbrough,900,450,450,USA,10,5,5,0,0,0,0,0,0,0,0,3,2,1,17,6,11,0,0,0,0,0,0,0,0,1.7,53,90,0,0,0,266,251,144,16
Brandon Mason,22,875574000,Premier League,2016/2017,Defender,Watford,112,112,0,England,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4.02,22,56,0,0,0,-1,-1,-1,18
Branislav Ivanović,36,446256000,Premier League,2016/2017,Defender,Chelsea,582,298,284,Serbia,13,3,3,0,0,0,0,0,0,0,0,6,2,4,9,3,6,2,0,0,0,0,0,0,0,1.39,65,45,291,0,0.31,386,386,93,19
Brendan Galloway,24,827020800,Premier League,2016/2017,Defender,West Bromwich Albion,248,158,90,England,3,2,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,1.09,83,83,0,0,0,-1,-1,-1,18
Bruno Martins Indi,28,697507200,Premier League,2016/2017,Defender,Stoke City,3147,1617,1530,Netherlands,35,18,17,1,0,1,0,0,0,0,0,11,7,4,48,18,30,5,0,0.03,0,0.03,0,0.06,3147,1.37,66,90,629,0,0.14,259,307,90,10
Bryan Oviedo,30,635299200,Premier League,2016/2017,Defender,Sunderland,1326,480,846,Costa Rica,16,6,10,0,0,0,0,0,0,0,0,3,2,1,22,7,15,4,0,0,0,0,0,0,0,1.49,60,83,332,0,0.27,318,325,112,9
Callum Wilson,28,699148800,Premier League,2016/2017,Forward,AFC Bournemouth,1366,800,566,England,20,9,7,6,4,2,0,0,0,3,0,5,4,1,24,13,11,0,0,0.4,0,0.4,0.45,0.32,228,1.58,57,68,0,0,0,34,397,-1,3
Calum Chambers,25,790560000,Premier League,2016/2017,Defender,Middlesbrough,2250,1260,990,England,25,14,11,2,2,0,1,1,0,0,0,7,6,1,35,17,18,4,0,0.12,0.04,0.08,0.14,0,1125,1.4,64,90,563,2250,0.16,178,220,94,5
Cameron Carter-Vickers,22,883526400,Premier League,2016/2017,Defender,Tottenham Hotspur,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carl Jenkinson,28,697507200,Premier League,2016/2017,Defender,Arsenal,83,0,83,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.08,83,83,0,0,0,-1,-1,-1,16
Carl Stewart,23,862527600,Premier League,2016/2017,Midfielder,Watford,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cedric Soares,29,683593200,Premier League,2016/2017,Defender,Southampton,2520,1318,1202,Portugal,30,15,15,0,0,0,3,2,1,0,0,12,7,5,34,16,18,7,0,0.11,0.11,0,0,0,0,1.21,74,84,360,840,0.25,339,136,64,24
Cesar Azpilicueta,31,620262000,Premier League,2016/2017,Defender,Chelsea,3420,1710,1710,Spain,38,19,19,1,1,0,4,2,2,0,0,16,8,8,30,15,15,4,0,0.13,0.11,0.03,0.05,0,3420,0.79,114,90,855,855,0.11,254,138,26,13
Cesc Fabregas,33,547081200,Premier League,2016/2017,Midfielder,Chelsea,1328,739,589,Spain,29,8,5,5,4,1,12,9,3,0,0,9,4,5,12,8,4,8,0,1.15,0.81,0.34,0.49,0.15,266,0.81,111,46,166,111,0.54,43,1,-1,7
Charlie Adam,34,503020800,Premier League,2016/2017,Midfielder,Stoke City,1495,848,647,Scotland,24,9,8,1,0,1,3,2,1,1,0,7,6,1,22,7,15,7,0,0.24,0.18,0.06,0,0.14,1495,1.32,68,62,214,498,0.42,213,69,-1,8
